Numberrange,USN,Name,Branch
21,1BM20CS021,Erica Solomon,Computer Science,1
22,1BM20CS022,Noelani Miranda,Computer Science,2
25,1BM20CS025,Harding Hall,Computer Science,3
35,1BM20CS035,Jael Cunningham,Computer Science,4
79,1BM20CS079,Rebecca Beasley,Computer Science,5
68,1BM20CS068,Malcolm Greene,Computer Science,6
83,1BM20CS083,Michael Holman,Computer Science,7
37,1BM20CS037,Colin Finch,Computer Science,8
76,1BM20CS076,Herrod Guerra,Computer Science,9
59,1BM20CS059,Carissa Black,Computer Science,10
51,1BM20CS051,Bethany Vance,Computer Science,11
69,1BM20CS069,Sean Thornton,Computer Science,12
17,1BM20CS017,Jade Massey,Computer Science,13
60,1BM20CS060,Matthew Sharp,Computer Science,14
78,1BM20CS078,Lois Arnold,Computer Science,15
75,1BM20CS075,Lacy Gilbert,Computer Science,16
67,1BM20CS067,Galvin Wolf,Computer Science,17
6,1BM20CS006,Rooney Velez,Computer Science,18
7,1BM20CS007,Marvin Moody,Computer Science,19
89,1BM20CS089,Damian Doyle,Computer Science,20
83,1BM20ME083,Finley Griffin,Mech,21
30,1BM20ME030,Casey Phillips,Mech,22
38,1BM20ME038,Quinn Morris,Mech,23
52,1BM20ME052,Casey Torres,Mech,24
81,1BM20ME081,Reagan Alexander,Mech,25
75,1BM20ME075,Peyton Washington,Mech,26
87,1BM20ME087,Casey Ford,Mech,27
33,1BM20ME033,Jamie Evans,Mech,28
47,1BM20ME047,Skyler Cooper,Mech,29
64,1BM20AI064,Breanna Garrison,Artificial Intelligence,30
9,1BM20AI009,Clementine Gonzalez,Artificial Intelligence,31
11,1BM20AI011,Oren Frye,Artificial Intelligence,32
17,1BM20IS017,Brennan Sweeney,Information Science,33
39,1BM20IS039,Gray Fernandez,Information Science,34
27,1BM20AI027,Quemby Huff,Artificial Intelligence,35
16,1BM20AI016,Ivan Ochoa,Artificial Intelligence,36
24,1BM20IS024,Reese Everett,Information Science,37
92,1BM20IS092,Latifah Merrill,Information Science,38
56,1BM20AI056,Nolan Ross,Artificial Intelligence,39
25,1BM20IS025,Hunter Dixon,Information Science,40
